Company,YC Page,Description,Industry,Company Website,Founders,founders_linkedin,founders_linkedin,founders_twitter,Founding Year,Headquarters
b-12,https://www.ycombinator.com/companies/b-12,"Chemical Copilot for Pharma and Biotech. Founded in 2025 by Andres Bran and Zlatko Jončev, b-12 has 2 employees based in San Francisco, CA, USA.",HEALTHCARE;DRUG DISCOVERY AND DELIVERY,,Zlatko Jončev;Andres Bran,https://www.linkedin.com/in/zlatkojoncev/;https://www.linkedin.com/in/andrescmb,https://www.linkedin.com/in/zlatkojoncev/;https://www.linkedin.com/in/andrescmb,https://x.com/ZJoncev;https://x.com/drecmb,,
Fulcrum,https://www.ycombinator.com/companies/fulcrum,"The agentic debugger for AI systems. Founded in 2025 by Uzay Girit and Kaivalya Hariharan, Fulcrum has 2 employees based in San Francisco, CA, USA.",B2B;ANALYTICS,,Kaivalya Hariharan;Uzay Girit,https://www.linkedin.com/in/kaivu-hariharan/;https://www.linkedin.com/in/uzay-girit-a208161a2/,https://www.linkedin.com/in/kaivu-hariharan/;https://www.linkedin.com/in/uzay-girit-a208161a2/,https://x.com/KaivuHariharan;https://x.com/uzpg_,,
RealRoots,https://www.ycombinator.com/companies/realroots,"AI social app for female transplants. Founded in 2024 by Tara Kappel and Dorothy Li, RealRoots has 4 employees based in San Francisco, CA, USA. RealRoots is hiring for 2 roles in engineering and operations.",CONSUMER;SOCIAL,,Dorothy Li;Tara Kappel,https://linkedin.com/in/dorothy-li-994a2213;https://linkedin.com/in/tara-kappel-5baa6095,https://linkedin.com/in/dorothy-li-994a2213;https://linkedin.com/in/tara-kappel-5baa6095,;,,
Janet AI,https://www.ycombinator.com/companies/tryjanet,"The AI-Native Jira. Founded in 2025 by William Barthell and Adhit Sankaran, Janet AI has 2 employees based in San Francisco, CA, USA.",B2B,,Adhit Sankaran;William Barthell;Janet AI - The AI-Native Ticket Triage and Management Layer for Jira,https://www.linkedin.com/in/adhitsankaran/;https://www.linkedin.com/in/william-barthell/;https://www.linkedin.com/in/adhitsankaran/,https://www.linkedin.com/in/adhitsankaran/;https://www.linkedin.com/in/william-barthell/;https://www.linkedin.com/in/adhitsankaran/,;;,,
Lilac,https://www.ycombinator.com/companies/lilac,"Spot GPUs that use idle GPUs from enterprises. Founded in 2025 by Ryan Ewing and Lucas Ewing, Lilac has 2 employees based in San Francisco, CA, USA.",B2B,,Ryan Ewing;Lucas Ewing,https://www.linkedin.com/in/rjewing/;https://www.linkedin.com/in/lucasboewing/,https://www.linkedin.com/in/rjewing/;https://www.linkedin.com/in/lucasboewing/,;,,
The Interface,https://www.ycombinator.com/companies/the-interface,"The foundations for AI-native media. Founded in 2025 by Max Raven and Peyton Shields, The Interface has 2 employees based in New York, NY, USA.",CONSUMER,,Max Raven;Peyton Shields,https://www.linkedin.com/in/ravenmax/;https://www.linkedin.com/in/peyton-shields,https://www.linkedin.com/in/ravenmax/;https://www.linkedin.com/in/peyton-shields,;https://x.com/peytonshields_,,
Panels,https://www.ycombinator.com/companies/panels,"Audio Data for AI Labs. Founded in 2025 by Jason Le and Aaron Wenk, Panels has 2 employees based in San Francisco, CA, USA.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Aaron Wenk;Jason Le,https://www.linkedin.com/in/aaron-wenk;https://www.linkedin.com/in/jale,https://www.linkedin.com/in/aaron-wenk;https://www.linkedin.com/in/jale,;,,
Louiza Labs,https://www.ycombinator.com/companies/louiza-labs,"Simulated human biology and synthetic medical datasets. Founded in 2025 by Larissa Tyagi, Louiza Labs has 2 employees based in San Francisco, CA, USA.",HEALTHCARE,,Larissa Tyagi,https://www.linkedin.com/in/larissatyagi100/,https://www.linkedin.com/in/larissatyagi100/,,,
Herdora,https://www.ycombinator.com/companies/herdora,"Fast AI Inference. Founded in 2025 by Emilio Andere and Steven Arellano, Herdora has 2 employees based in San Francisco, CA, USA. Herdora is hiring for 3 roles in engineering.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Emilio Andere;Steven Arellano,https://linkedin.com/in/emi-andere;https://www.linkedin.com/in/stevenjarellano/,https://linkedin.com/in/emi-andere;https://www.linkedin.com/in/stevenjarellano/,https://x.com/technoabsurdist;https://x.com/gpusteve,,
Parachute,https://www.ycombinator.com/companies/parachute,"Infrastructure for hospitals to monitor and deploy clinical AI . Founded in 2025 by Aria Vikram and Tony Yamin, Parachute has 2 employees based in San Francisco, CA, USA.",HEALTHCARE;HEALTHCARE IT,,Aria Vikram;Tony Yamin,https://www.linkedin.com/in/aria-vikram/;https://www.linkedin.com/in/tyamin,https://www.linkedin.com/in/aria-vikram/;https://www.linkedin.com/in/tyamin,;,,
Orange Slice,https://www.ycombinator.com/companies/orange-slice,"AI agents that find you customers who already want to buy. Founded in 2025 by Vihaar Nandigala and Kishan Sripada, Orange Slice has 2 employees based in San Francisco, CA, USA.",B2B;SALES,,Vihaar Nandigala;Kishan Sripada,https://www.linkedin.com/in/vihaar-nandigala/;https://www.linkedin.com/in/kishansripada/,https://www.linkedin.com/in/vihaar-nandigala/;https://www.linkedin.com/in/kishansripada/,https://twitter.com/VihaarNandigala;,,
Qualify.bot,https://www.ycombinator.com/companies/qualify-bot,"AI phone agents for Commercial Lending . Founded in 2025 by Rohan Datta and Yash Goenka, Qualify.bot has 2 employees based in San Francisco, CA, USA.",B2B;FINANCE AND ACCOUNTING,,Rohan Datta;Yash Goenka;Qualify.bot ☎️ - AI phone agents for Commercial Lenders;THE PROBLEM 🤯,https://linkedin.com/in/rohan-datta-2500;https://linkedin.com/in/yashvg;https://www.linkedin.com/company/qualify-bot;https://www.linkedin.com/company/qualify-bot,https://linkedin.com/in/rohan-datta-2500;https://linkedin.com/in/yashvg;https://www.linkedin.com/company/qualify-bot;https://www.linkedin.com/company/qualify-bot,;https://x.com/theyashgoenka;;,,
Riverbank Security,https://www.ycombinator.com/companies/riverbank-security,"AI-native Red Teaming and Offensive Security . Founded in 2025 by Prat Mallick and Carter Pry, Riverbank Security has 2 employees based in San Francisco, CA, USA.",B2B,,Prat Mallick;Carter Pry,https://linkedin.com/in/mallickprat;https://linkedin.com/in/carterpry,https://linkedin.com/in/mallickprat;https://linkedin.com/in/carterpry,http://twitter.com/pratmallick;https://x.com/carterlpry,,
Stellon Labs,https://www.ycombinator.com/companies/stellon-labs,"Building tiny frontier AI models that run on edge devices. Founded in 2025 by Divam Gupta and Rohan Joshi, Stellon Labs has 2 employees based in San Francisco, CA, USA.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Rohan Joshi;Divam Gupta,https://linkedin.com/in/rohan-m-joshi;https://linkedin.com/in/divamgupta,https://linkedin.com/in/rohan-m-joshi;https://linkedin.com/in/divamgupta,;https://x.com/divamgupta,,
Design Arena,https://www.ycombinator.com/companies/design-arena,"World's largest crowdsourced benchmark for AI-generated design. Founded in 2025 by Grace Li and Kamryn Ohly, Design Arena has 3 employees based in San Francisco, CA, USA.",CONSUMER,,Grace Li;Kamryn Ohly,https://www.linkedin.com/in/grace-li-721a4017b/;https://www.linkedin.com/in/kamrynohly/,https://www.linkedin.com/in/grace-li-721a4017b/;https://www.linkedin.com/in/kamrynohly/,https://x.com/grx_xce;https://x.com/kamrynohly,,
BootLoop,https://www.ycombinator.com/companies/bootloop,"Firmware in minutes, not months - rigorously tested on real hardware. Founded in 2025 by Chris Markus and Noah Pacik-Nelson, BootLoop has 2 employees based in San Francisco, CA, USA.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Noah Pacik-Nelson;Chris Markus,https://www.linkedin.com/in/noah-pacik-nelson/;https://www.linkedin.com/in/chris-markus/,https://www.linkedin.com/in/noah-pacik-nelson/;https://www.linkedin.com/in/chris-markus/,https://x.com/noahpaciknelson;https://x.com/chrism4rkus,,
EffiGov,https://www.ycombinator.com/companies/effigov,"The AI OS for Cities. Founded in 2025 by Aden Clemente and Aubteen Pour-Biazar, EffiGov has 2 employees based in San Francisco, CA, USA.",GOVERNMENT,,Aubteen Pour-Biazar;Aden Clemente,https://www.linkedin.com/in/aubteen-pour-biazar/;https://www.linkedin.com/in/aden-clemente,https://www.linkedin.com/in/aubteen-pour-biazar/;https://www.linkedin.com/in/aden-clemente,https://x.com/AubteenPB;https://x.com/adencle,,
Nox Metals,https://www.ycombinator.com/companies/nox-metals,"The modern factory for fast, low-cost metals. . Founded in 2025 by Zane Hengsperger, Nox Metals has 2 employees based in Detroit, MI, USA. Nox Metals is hiring for 1 roles in engineering.",INDUSTRIALS;MANUFACTURING AND ROBOTICS,,Zane Hengsperger,https://www.linkedin.com/in/zanehh/,https://www.linkedin.com/in/zanehh/,https://x.com/zanehengsperger,,
Uplift AI,https://www.ycombinator.com/companies/uplift-ai,"Foundational Voice Models for regional languages. Founded in 2024 by Muhammad Bin Sabir, Hammad Malik, and Zaid Qureshi, Uplift AI has 5 employees based in .",B2B,,Hammad Malik;Muhammad Bin Sabir;Zaid Qureshi,https://www.linkedin.com/in/hammad2;https://linkedin.com/in/muhammad-sabir;https://linkedin.com/in/zaidqureshi,https://www.linkedin.com/in/hammad2;https://linkedin.com/in/muhammad-sabir;https://linkedin.com/in/zaidqureshi,;https://x.com/muhammadbsabir;https://x.com/zqureshi_,,
Induction Labs,https://www.ycombinator.com/companies/induction-labs,"Training the best computer use models in the world. Automate anything. Founded in 2025 by Jeffrey Li and Jonathan Li, Induction Labs has 2 employees based in .",B2B;PRODUCTIVITY,,Jonathan Li;Jeffrey Li,https://www.linkedin.com/in/jonatli/;https://linkedin.com/in/jeffrey-dot-li,https://www.linkedin.com/in/jonatli/;https://linkedin.com/in/jeffrey-dot-li,;,,
Topological,https://www.ycombinator.com/companies/topological,"Physics-based foundation models for CAD optimization. Founded in 2025 by Zeyneb Kaya and Nicole Ma, Topological has 2 employees based in .","B2B;ENGINEERING, PRODUCT AND DESIGN",,Nicole Ma;Zeyneb Kaya,https://www.linkedin.com/in/ma06nicole/;https://www.linkedin.com/in/zeyneb-kaya/,https://www.linkedin.com/in/ma06nicole/;https://www.linkedin.com/in/zeyneb-kaya/,;https://x.com/zeynebnkaya,,
Lark,https://www.ycombinator.com/companies/lark,"AI Native Billing Platform. Founded in 2025 by Jack Brown and Vijit Dhingra, Lark has 2 employees based in San Francisco, CA, USA.",B2B;OPERATIONS,,Vijit Dhingra;Jack Brown;Lark: AI Agents for Billing,https://www.linkedin.com/in/vijitdhingra/;https://www.linkedin.com/in/jackcbrown/;https://www.linkedin.com/in/vijitdhingra/,https://www.linkedin.com/in/vijitdhingra/;https://www.linkedin.com/in/jackcbrown/;https://www.linkedin.com/in/vijitdhingra/,https://x.com/VijitDhingra1;;,,
Slashy,https://www.ycombinator.com/companies/slashy,"AI Native Ops Layer for Business Workflows. Founded in 2025 by Pranjali Awasthi, Harsha Gaddipati, and Dhruv Roongta, Slashy has 3 employees based in San Francisco, CA, USA.",B2B;PRODUCTIVITY,,Pranjali Awasthi;Harsha Gaddipati;Dhruv Roongta,https://www.linkedin.com/in/pranjali-awasthi-neuro/;https://www.linkedin.com/in/harsha-gaddipati-032bb820a/;https://www.linkedin.com/in/dhruv-roongta-421a7b214/,https://www.linkedin.com/in/pranjali-awasthi-neuro/;https://www.linkedin.com/in/harsha-gaddipati-032bb820a/;https://www.linkedin.com/in/dhruv-roongta-421a7b214/,https://x.com/raidingAI;https://x.com/GaddipatiHarsha;,,
Wedge,https://www.ycombinator.com/companies/wedge,"Palantir for Healthcare AI Agents. Founded in 2025 by Devraj Gopal and Steven Segawa, Wedge has 2 employees based in San Francisco, CA, USA.",HEALTHCARE,,Devraj Gopal;Steven Segawa;Wedge: Palantir for Health AI Agents,https://www.linkedin.com/in/devraj-gopal-6a5865284;https://www.linkedin.com/in/steven-segawa/;https://www.linkedin.com/in/dev-gopal/,https://www.linkedin.com/in/devraj-gopal-6a5865284;https://www.linkedin.com/in/steven-segawa/;https://www.linkedin.com/in/dev-gopal/,;https://x.com/ssegawa123;,,
CareSwift,https://www.ycombinator.com/companies/careswift,"AI scribe for Ambulance Reports. Founded in 2025 by John Paul Mussalli, Brian Weigand, and Jonathan Zero, CareSwift has 3 employees based in San Francisco, CA, USA. CareSwift is hiring for 1 roles in engineering.",HEALTHCARE,,Brian Weigand;John Paul Mussalli;Jonathan Zero,https://www.linkedin.com/in/brian-weigand/;https://www.linkedin.com/in/jpmussalli/;https://www.linkedin.com/in/jonathanzero/,https://www.linkedin.com/in/brian-weigand/;https://www.linkedin.com/in/jpmussalli/;https://www.linkedin.com/in/jonathanzero/,;;,,
datafruit,https://www.ycombinator.com/companies/datafruit,"AI DevOps Engineer. Founded in 2025 by Venkat Arun, Abhiram Chennupati, Tom Jeong, and Nick Papciak, datafruit has 4 employees based in San Francisco, CA, USA.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Venkat Arun;Abhiram Chennupati;Tom Jeong;Nick Papciak,https://www.linkedin.com/in/venkat-arun-22677b223/;https://www.linkedin.com/in/abhiram-chennupati-b02058198/;https://www.linkedin.com/in/tomwsjeong/;https://www.linkedin.com/in/nickpapciak,https://www.linkedin.com/in/venkat-arun-22677b223/;https://www.linkedin.com/in/abhiram-chennupati-b02058198/;https://www.linkedin.com/in/tomwsjeong/;https://www.linkedin.com/in/nickpapciak,;https://x.com/chendotnet;https://x.com/TommyLovesSosa;https://x.com/completely_np,,
Pangolin,https://www.ycombinator.com/companies/pangolin,"Open-source alternative to Cloudflare Tunnels. Founded in 2025 by Milo Schwartz and Owen Schwartz, Pangolin has 2 employees based in . Pangolin is hiring for 1 roles in engineering.",B2B;INFRASTRUCTURE,,Milo Schwartz;Owen Schwartz,https://www.linkedin.com/in/miloaschwartz/;https://www.linkedin.com/in/owenschwartz,https://www.linkedin.com/in/miloaschwartz/;https://www.linkedin.com/in/owenschwartz,;,,
Kestroll,https://www.ycombinator.com/companies/kestroll,"We met in our freshman year, built one of the largest student-run startup accelerators in Boston during our sophomore year, and cofounded an AI language tutor in our senior year. Before building Kestroll, Ben worked as a founding engineer and Tom as a founding sales at seed-stage YC companies. Tom is also a videographer and felt this problem personally.",B2B;MARKETING,,Benjamin Skinner;Tom Yang,https://linkedin.com/in/ben-skinner-profile;https://linkedin.com/in/tom-yang11,https://linkedin.com/in/ben-skinner-profile;https://linkedin.com/in/tom-yang11,https://x.com/Benjmin_skinner;,,
Liva AI,https://www.ycombinator.com/companies/liva-ai,"Scale AI for video and voice data. Founded in 2025 by Ashley Mo and Aoi Otani, Liva AI has 2 employees based in San Francisco, CA, USA. Liva AI is hiring for 1 roles in operations.",B2B,,Ashley Mo;Aoi Otani,https://www.linkedin.com/in/ashley-mo/;https://linkedin.com/in/aoi-otani-ab3a1b205,https://www.linkedin.com/in/ashley-mo/;https://linkedin.com/in/aoi-otani-ab3a1b205,https://x.com/ashlleymo;https://x.com/bigvalleyblue,,
Pharmie AI,https://www.ycombinator.com/companies/pharmie-ai,"The first AI pharmacy technician. Founded in 2025 by Neer Jain and Aniruddh Sriram, Pharmie AI has 2 employees based in San Francisco, CA, USA.",HEALTHCARE;HEALTHCARE IT,,Aniruddh Sriram;Neer Jain,https://www.linkedin.com/in/aniruddh-sriram/;https://www.linkedin.com/in/neer-jain/,https://www.linkedin.com/in/aniruddh-sriram/;https://www.linkedin.com/in/neer-jain/,;,,
Tesora,https://www.ycombinator.com/companies/tesora,"Digital employees for manufacturing operations. Founded in 2025 by Vivek Rao and Federico Reyes Gomez, Tesora has 2 employees based in San Francisco, CA, USA.",B2B;SUPPLY CHAIN AND LOGISTICS,,Vivek Rao;Federico Reyes Gomez,https://www.linkedin.com/in/vivek-r-928871173/;https://www.linkedin.com/in/federico-reyes-gomez,https://www.linkedin.com/in/vivek-r-928871173/;https://www.linkedin.com/in/federico-reyes-gomez,;,,
Pond,https://www.ycombinator.com/companies/pond,"Superhuman for text messages. Founded in 2025 by Aagam Dalal and Brian Williams, Pond has 2 employees based in San Francisco, CA, USA.",B2B;PRODUCTIVITY,,Aagam Dalal;Brian Williams,https://linkedin.com/in/aagam-dalal;https://www.linkedin.com/in/brian-edward-williams/,https://linkedin.com/in/aagam-dalal;https://www.linkedin.com/in/brian-edward-williams/,https://x.com/aagdalal;,,
